"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1920,4.77777777777778,4.88888888888889,6.88888888888889,8.16666666666667,12.2777777777778,14.7222222222222,14.2777777777778,13.5555555555556,12.3888888888889,10.2777777777778,6.05555555555555,4.33333333333333
1921,6.77777777777778,4.33333333333333,7.27777777777778,8.33333333333333,12.2777777777778,14.8333333333333,19.0555555555556,15.5,13.8888888888889,12.3333333333333,4.27777777777778,6
1922,3.05555555555556,3.72222222222222,4.16666666666667,5.61111111111111,13.1666666666667,14.3333333333333,13.7777777777778,12.3888888888889,12.3888888888889,8.38888888888889,5.44444444444444,5.38888888888889
1923,5.44444444444444,4.5,6.05555555555555,7.66666666666667,9.55555555555556,11.5,17.8888888888889,15.3333333333333,12.4444444444444,9.55555555555556,2.38888888888889,3.11111111111111
1924,4.05555555555555,3.05555555555556,3.5,7.5,11.7777777777778,14.2777777777778,16,14.5555555555556,13.5555555555556,9.88888888888889,6.88888888888889,6.44444444444444
1925,4.44444444444444,4.72222222222222,4.88888888888889,7.27777777777778,12.1111111111111,15.2222222222222,17.5,16.1111111111111,11.6666666666667,10,3.38888888888889,2.38888888888889
1926,4,6.33333333333333,6.33333333333333,9.38888888888889,10.3333333333333,13.7777777777778,16.9444444444444,16.6666666666667,14.1666666666667,8.16666666666667,5.33333333333333,4.33333333333333
1927,4.11111111111111,3.61111111111111,7.38888888888889,8.38888888888889,10.9444444444444,12.7777777777778,15.7777777777778,15.8333333333333,12.6111111111111,10.1666666666667,5.72222222222222,1.77777777777778
1928,4.88888888888889,5.05555555555556,6,8.5,10.5,13.5555555555556,16.7777777777778,15.8333333333333,13,10.1111111111111,6.11111111111111,2.94444444444444
1929,1.55555555555555,-0.388888888888889,5,6.61111111111111,11.7222222222222,13.8333333333333,16.9444444444444,15.7222222222222,15.4444444444444,9.55555555555556,6.05555555555555,5.5
1930,5.33333333333333,2.83333333333333,5.11111111111111,8.27777777777778,10.6666666666667,15.7777777777778,15.6111111111111,16.4444444444444,13.8888888888889,10.5,6.11111111111111,3.77777777777778
1931,2.83333333333333,3.55555555555555,3.55555555555555,8.05555555555556,11.9444444444444,14.6666666666667,15.8888888888889,14.5555555555556,12.1111111111111,8.11111111111111,7.5,4.77777777777778
1932,5.77777777777778,3.55555555555555,4.61111111111111,7,10.5,13.8888888888889,16.7222222222222,17.5,13.5,8.5,6.44444444444444,5.44444444444444
1933,2.33333333333333,4.05555555555555,6.94444444444444,9.27777777777778,12.3333333333333,16,18.6111111111111,18.2777777777778,15.6111111111111,10.1111111111111,5.61111111111111,2.11111111111111
1934,4.11111111111111,3.44444444444445,4.66666666666667,8.27777777777778,11.8888888888889,15.3333333333333,19.1666666666667,15.7777777777778,15.1111111111111,10.6666666666667,6,7.66666666666667
1935,4.44444444444444,5.88888888888889,6.38888888888889,8.38888888888889,10,15.8333333333333,18.1111111111111,17.7777777777778,13.7777777777778,9.22222222222222,6.77777777777778,2.44444444444444
1936,2.94444444444444,1.66666666666667,6.66666666666667,6.61111111111111,11.5,14.7777777777778,15.5555555555556,16.1666666666667,14.5,9.77777777777778,5.33333333333333,5.16666666666667
1937,4.88888888888889,5,3.55555555555555,8.55555555555556,12.2777777777778,14.7777777777778,16.3333333333333,16.5555555555556,13.5,10.5,5.22222222222222,2.83333333333333
1938,5.61111111111111,5.11111111111111,8.5,8.11111111111111,11.3333333333333,15,15.3333333333333,15.7777777777778,13.8888888888889,10.3888888888889,8.77777777777778,4
1939,4.11111111111111,4.94444444444444,5.77777777777778,8.77777777777778,11.3333333333333,14.4444444444444,15.9444444444444,16.5555555555556,14.5555555555556,8.16666666666667,8.11111111111111,3.22222222222222
